Month,IYW,IYR,IDU,IYK,IYC,IYJ,IYM,IYH,IYG,IYZ,IYE
13-Aug,-0.43,-6.34,-5.25,-3.18,-3.53,-2.22,-0.08,5.26,-4.98,-3.98,-1.64
13-Sep,2.74,3.29,1.33,2.46,5.40,5.61,4.61,-0.02,2.68,3.62,2.35
13-Oct,4.43,3.83,3.85,4.84,5.02,4.27,4.41,5.65,3.42,6.16,4.25
13-Nov,3.55,-4.73,-2.09,1.75,3.54,3.32,1.30,3.18,6.41,-2.15,0.43
13-Dec,4.15,0.95,1.23,1.12,2.19,4.26,4.75,-1.15,3.15,4.71,2.88
14-Jan,-1.75,3.58,2.72,-5.38,-4.80,-4.27,-4.81,1.60,-3.83,-3.16,-6.26
14-Feb,4.74,4.68,3.25,4.19,6.38,4.12,6.60,4.37,2.79,-0.03,5.43
14-Mar,0.22,0.14,3.19,1.44,-2.22,0.15,1.00,1.08,2.74,4.50,2.45
14-Apr,-0.14,2.98,3.93,1.71,-1.28,0.54,0.79,-1.69,-4.31,-2.04,4.96
14-May,3.79,2.77,-0.67,2.15,2.74,1.65,2.67,4.92,1.39,2.66,1.36
14-Jun,3.06,1.07,4.42,0.86,1.45,1.07,1.96,-0.01,2.93,1.33,5.25
14-Jul,0.96,-0.18,-6.99,-3.78,-1.09,-4.11,-2.39,2.76,-1.33,1.32,-3.56
14-Aug,4.29,3.43,5.18,5.25,4.08,4.25,3.91,-7.87,3.01,-0.07,2.52
14-Sep,-0.96,-5.82,-2.62,-1.41,-1.94,-2.20,-2.72,-6.48,0.42,-2.07,-7.74
14-Oct,0.88,8.42,8.44,3.43,2.61,3.64,-2.53,7.10,3.13,1.80,-3.69
14-Nov,5.08,2.64,1.03,4.85,6.28,2.47,0.62,-0.10,1.82,0.98,-9.24
14-Dec,-1.88,0.76,3.50,-1.62,1.65,-0.18,-1.61,1.35,2.06,-4.36,-0.05
15-Jan,-3.85,5.62,2.15,-2.18,-2.04,-3.41,-3.12,-8.54,-9.09,-2.19,-4.73
